a,b,c
46,5969,279
3,99237,99116
77,3,15
4583,9766,2
4,918,2762
446,34769,89225
8586,513,6
123,5,475
54781,73,8
7819,4667,873
3193,4,6341
6836,484,523
98276,278,7876
682,5322,5
6823,86544,95796
5,8,4
2699,26571,516
57,8,9
78,33,9613
731,9396,63
26239,4316,1
4,91,5587
64398,265,773
75,27931,4
9,36,4
577,92968,7
5711,3,8864
46,8982,92237
343,284,3294
26111,262,9561
988,37838,1487
9221,12,39
77,798,86527
39139,3,99
249,13,7
1616,178,13
86556,113,2822
4865,82,8779
9381,471,6119
936,55,9164
86,6552,29
93641,82,2
331,24,67
699,45,41
11526,3,8434
12,2,8255
91,79881,724
824,1,8164
85998,91379,48654
6,84373,35
4,147,173
64,7,45131
77,7598,48
1,95792,14167
37979,64283,8
4233,893,26572
2,31,243
61657,151,1
112,177,7
41651,74326,9354
232,55,78
42,49,776
587,15721,1384
96958,49,14933
1,83,12838
838,25589,34
318,681,71458
3349,4248,6
2,8,1187
9793,258,122
236,51594,7283
531,29524,98
4676,5,11698
67,3549,312
51,22887,86
9,9875,2
58996,1,9
885,3824,38
88,577,1743
1283,1,89
9,7791,58
195,94,877
4,5921,49853
62,4,177
8257,39,3589
95447,1,736
1,829,272
8,92,5152
3,4691,42151
659,3,8398
59,946,11689
5815,7,4
957,595,7732
3,4,4
24293,52,35559
53,1,55813
14413,8,9732
86924,4958,913
87,322,46
6994,528,34
